,Service Name,Status,Ministry,Link
1,Apply to be a Project Protege Mentor,Feature flagged,"Youth, Sports, Community Empowerment",https://alpha.gov.bb/work-employment/apply-to-be-a-project-protege-mentor/form?step=personal
2,Register for a Youth Development Programme (YDP) Community Sports Training programme,Feature flagged,"Youth, Sports, Community Empowerment",https://alpha.gov.bb/work-employment/register-for-community-sports-training-programme/form?p=demo
3,Get a Primary School Textbook Grant,Feature flagged,Educational Transformation,https://alpha.gov.bb/money-financial-support/get-a-primary-school-textbook-grant
4,Register for JobStart Plus,Feature flagged,"Labour, Social Security and Third Sector",
5,Apply for a conductor's licence,Feature flagged,Transport and Works,
6,Apply for a licence to sell goods or services at a beach or park,Feature flagged,Environment and Beautification,
7,Get a copy of a death certificate,Feature flagged,Attorney General’s Office,
8,Get a copy of a birth certificate,Feature flagged,Attorney General’s Office,
9,Get a copy of a marriage certificate,Feature flagged,Attorney General’s Office,
10,Tell the Post Office soemone has died,Feature flagged,Prime Minister’s Office,
11,Redirect my personal mail,Feature flagged,Prime Minister’s Office,
12,Redirect my business mail,Feature flagged,Prime Minister’s Office,
13,Request a building inspection from the fire service,Backlog,Prime Minister’s Office,